job_title,Unnamed: 1,key_skills,role_category,location,functional_area,industry,role,longitude,latitude,salary,min_experience,max_experience
digital media planner,,media planning| digital media,Advertising,mumbai,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",media planning executive/manager,72.8773928,19.0759899,3855,5.0,10.0
online bidding executive,,pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"pune,pune","sales , retail , business development","it-software, software services",sales executive/officer,73.8544541,18.521428,2639,2.0,5.0
trainee research/ research executive- hi- tech operations,,computer science| fabrication| quality check| intellectual property| electronics| support services| research| management| human resource management| research executive,R&D,gurgaon,"engineering design , r&d","recruitment, staffing",r&d executive,77.00270015,28.42826235,2156,0.0,1.0
technical support,,technical support,Admin/Maintenance/Security/Datawarehousing,mumbai,"it software - application programming , maintenance","it-software, software services",technical support engineer,72.8773928,19.0759899,4059,0.0,5.0
software test engineer -hyderabad,,manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,hyderabad,it software - qa & testing,"it-software, software services",testing engineer,78.4740613,17.360589,5347,2.0,5.0
opening for adobe analytics specialist,,adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,pune,"it software - application programming , maintenance","it-software, software services",system analyst,73.8544541,18.521428,4838,5.0,7.0
sales- fresher-for leading property consultant,,channel partners| real estate| negotiation| property| residential sales,Retail Sales,bengaluru,"sales , retail , business development","real estate, property",sales executive/officer,77.590082,12.9767936,2585,0.0,0.0
opportunity for azure devops architect for hyderabad location,,tfs| azure| git| vsts| docker| dynatrace| splunk| aws,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",technical architect,78.4740613,17.360589,3914,9.0,14.0
bde- pune,,bde,Institutional Sales,pune,"sales , retail , business development","it-software, software services",sales executive/officer,73.8544541,18.521428,2111,2.0,7.0
technical support/ product support,,technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,bengaluru,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),77.590082,12.9767936,2359,1.0,5.0
executive assistant to chairman,,secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,mumbai,"strategy , management consulting , corporate planning","courier, transportation, freight , warehousing",corporate planning/strategy manager,72.8773928,19.0759899,5569,5.0,10.0
seo executive,,website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"noida,delhi,noida/greater noida","it software - ecommerce , internet technologies","it-software, software services",webmaster,77.5545502,28.3900177,2167,1.0,6.0
workflow coordinator,,operations| workflow| tat| monitoring| mts| email,Operations,"delhi,delhi","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",process flow analyst,77.2219388,28.6517178,2063,2.0,7.0
oracle idam,,oracle idam|oim|oam,Programming & Design,"bengaluru,hyderabad,kolkata,chennai","it software - application programming , maintenance",it-software / software services,software developer,,,3239,,
looking facebook /social media manager for our digital marketing ageny,,digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,gurgaon,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",social media marketing manager,77.00270015,28.42826235,6979,2.0,4.0
wanted engineering fresher for mnc chennai,,instrumentation engineering| electrical engineering| engineering| fresher| trainee| immediate| mechanical engineering| electronics engineering| undergraduate,,chennai,other,other,other,80.270186,13.0836939,1513,0.0,1.0
tooling &amp; sampling,,help desk| customer service| customer relationship| access controls| asset management| vendor management,Engineering Design,faridabad,"engineering design , r&d","industrial products, heavy machinery",senior design engineer,77.3105561,28.4031478,6622,2.0,7.0
account manager,,report generation| policies| analytical| procedures| analysts| data entry| analytical skills,Accounts,mumbai,"accounts , finance , tax , company secretary , audit","it-software, software services",accounts manager,72.8773928,19.0759899,5324,3.0,7.0
magento developer,,copyright| email| jquery| xml| javascript| cakephp| customer service| open source| facebook| css3,Programming & Design,ahmedabad,"it software - ecommerce , internet technologies","textiles, garments, accessories",software developer,72.5797068,23.0216238,6891,2.0,7.0
looking for trained freshers in ms dynamics crm- hyderabad,,c#| ms dynamics crm| microsoft dynamics| ms dynamics,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,6493,0.0,3.0
job openings kotak life/ max life/ aditya birla health for sales mgr,,sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| marketing executive| territory sales manager,Retail/Personal Banking,"bhilai/bhillai,bhilwara,bhopal,bhubaneshwar,bikaner,bilaspur,bokaro,chandigarh,burdwan","financial services , banking , investments , insurance",insurance,sales officer,,,5623,3.0,7.0
business development / corporate sales,,lead generation| business development| corporate sales,Retail Sales,delhi ncr,"sales , retail , business development","it-software, software services",sales/business development manager,77.1212148,28.6882438,1564,0.0,4.0
business development manager (bdm),,contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"delhi,delhi","sales , retail , business development","it-software, software services",sales/business development manager,77.2219388,28.6517178,5439,2.0,5.0
qa executive,,qa executive,QA/Testing/Documentation,hyderabad,it software - qa & testing,"pharma, biotech, clinical research",quality assurance/quality control executive,78.4740613,17.360589,5434,2.0,5.0
back end java developer - restful services/soap,,java ee| jms| core java| junit| weblogic| html| jpa| json| soap| sql,Programming & Design,bengaluru,"it software - dba , datawarehousing","it-software, software services",software developer,77.590082,12.9767936,4114,6.0,8.0
product engineer,,conceptualization| architecting| continuous improvement| side| development| front end| it,Programming & Design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,4897,4.0,9.0
opening for articulate tool developer - articulate / captivate)chennai,,articulate storyline,Programming & Design,chennai,"it software - application programming , maintenance","animation, gaming",graphic/web designer,80.270186,13.0836939,4626,3.0,5.0
urgent hiring for area sales manager,,area sales management| retail sales| fmcg| chocolate| confectionary| asm| area sales manager| area business manager,Retail Sales,"ambala,gurgaon","sales , retail , business development","fmcg, foods, beverage",area sales manager,76.770421,30.3843674,1724,7.0,12.0
software engineer - c++ development - ooad/oops,,c#| java| oop| c++| multithreading| uml| ooad| oops| .net| debugging,Programming & Design,chennai,"it software - application programming , maintenance","it-software, software services",software developer,80.270186,13.0836939,4562,4.0,9.0
linux administrator lead,,qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"gurgaon,gurgaon","it software - network administration , security","it-software, software services",system administrator,77.00270015,28.42826235,5425,5.0,10.0
hiring for tech pm/scrum master for hyderabad location,,java| jpa| hibernate| project management| jdbc| scrum master| microservices| agile| soap| rest,Project Management,hyderabad,"it software - application programming , maintenance","it-software, software services",project manager-it/software,78.4740613,17.360589,5286,8.0,10.0
us based financial company looking for java api engineers for hyd,,java| java api| banking| j2ee| api| finance| core java| microservices,Programming & Design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,5198,6.0,8.0
strong partner ecosystem,,gis| iso 27001| hr| information system| process| iso 9001| information security management| gis software| management| edge,Programming & Design,noida,"it software - application programming , maintenance","it-software, software services",project lead,77.3271074,28.5707841,4494,2.0,7.0
wordpress web developer,,vide,Programming & Design,bengaluru,"it software - application programming , maintenance","recruitment, staffing",software developer,77.590082,12.9767936,4689,3.0,6.0
senior executive- contract logistics- bom wp-a,,administration| administrative support| contract logistics| staff development| site management| quality improvement| warehousing| warehouse operations,Logistics,mumbai,purchase / logistics / supply chain,"courier, transportation, freight , warehousing",logistics executive,72.8773928,19.0759899,3815,2.0,5.0
accounts manager,,filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,mumbai,"accounts , finance , tax , company secretary , audit","security, law enforcement",accounts executive/accountant,72.8773928,19.0759899,3252,2.0,3.0
technical sales executive with fixed pay & lucrative incentives/uk inb,,outbound| antivirus| technical support| sales| spot| inbound calls| pay| medical| comp,Voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,3087,0.0,3.0
nutanix sme,,troubleshooting| dns| dhcp| monitoring| virtualization| shell scripting| python| vms| open source| archiving,Technical Support,bengaluru,"it hardware , technical support , telecom engineering","it-software, software services",technical support manager,77.590082,12.9767936,1965,15.0,20.0
system architect - 3g/4g wireless network architecture & migration,,4g| 3gpp| 3g| system architect| lte| radio access network| phd| ieee,Programming & Design,mumbai,"it software - network administration , security","it-software, software services",technical architect,72.8773928,19.0759899,3883,10.0,16.0
"excellent opportunity for ” linux device driver ” ,for hyderabad and ban",,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,"hyderabad, bengaluru","it software - application programming , maintenance",it-software / software services,software developer,77.6370384,13.023331,5273,,
java developer,,jms| core java| sonar| weblogic| xml| j2ee| svn| spring| oracle 11g| sql,,pune,other,other,other,73.8544541,18.521428,4087,6.0,8.0
regional representative,,market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,noida,"sales , retail , business development","it-software, software services",sales/business development manager,77.3271074,28.5707841,4615,0.0,3.0
hiring for record to report,,fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"gurgaon,noida","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.00270015,28.42826235,6666,1.0,4.0
product & regional sales manager,,team management| regional sales| management,Retail Sales,mumbai,"sales , retail , business development","strategy, management consulting firms",regional manager,72.8773928,19.0759899,6397,3.0,6.0
senior manager/associate director - mandarin,,commercial activities| commercial sales| online sales| senior management| budgeting| strategy implementation| marketing| e - commerce,Senior Management,"delhi,gurgaon","sales , retail , business development","internet, ecommerce",head / vp/ gm/ national manager after sales,77.0222524,28.5061017,3009,10.0,15.0
